VOLARE STATUS,PROPOSED DISPOSITION,HIERARCHY
BULK SMS SENT,SMS - SENT,5
BUSY,BUSY,4
DNC - HOLD EFFORT,RIGHT PARTY - DISPUTING THE ACCOUNT,16
DROPPED,DROPPPED CALL,2
EMAIL SENT,EMAIL - SENT,3
JUNK - DECEASED CLIENT,THIRD PARTY - CLIENT DECEASED,16
JUNK - EMAIL NO RESPONSE,EMAIL - SENT,3
JUNK - NO ACTIVE NUMBER,NO ANSWER FROM THE USER,1
NEGATIVE - BUSY,BUSY,4
NEGATIVE - DROPPED THE CALL,DROPPPED CALL,2
NEGATIVE - NO ACTIVE NUMBER,NO ANSWER FROM THE USER,1
NEGATIVE - NO ANSWER,NO ANSWER FROM THE USER,1
NEGATIVE - VOICE CLIP,NO ANSWER FROM THE USER,1
NEGATIVE - WRONG NUMBER,THIRD PARTY - WRONG NUMBER,8
NEW,NEW ENDO,0
PAYMENT - DISCOUNTED OTP,RIGHT PARTY - PAID TODAY,13
PAYMENT - PAID IN FULL,RIGHT PARTY - PAID TODAY,13
PAYMENT - PARTIAL,RIGHT PARTY - PAID TODAY,13
PM,OTHER NON-VOICE - SENT,4
POSITIVE - 3RD PARTY CONTACTED,THIRD PARTY - MESSAGE RELAYED,7
POSITIVE - BUSY,BUSY,4
POSITIVE - FAILED ID,DROPPPED CALL,2
POSITIVE - HANG UP,CALL REJECTED,2
POSITIVE - REFUSE TO PAY,RIGHT PARTY - REFUSED TO TALK,11
POSITIVE - SENT EMAIL TEMPLATE,EMAIL - SENT,3
POSITIVE - SENT VIBER TEMPLATE,VIBER - SENT,3
POSITIVE - SENT VIBER TEMPLATE,VIBER - SENT,3
POSITIVE CONTACT - CALLBACK,RIGHT PARTY - CALL BACK REQUESTED,10
POSITIVE CONTACT - DISPUTE,RIGHT PARTY - DISPUTING THE ACCOUNT,9
POSITIVE CONTACT - EMAIL RESPONSIVE,EMAIL - SENT,3
POSITIVE CONTACT - RPC CALL DISCONNECTED,RPC - ENDED MIDDLE OF THE CALL,2
POSITIVE CONTACT - RPC REFUSE TO PAY,RIGHT PARTY - REFUSED TO TALK,11
POSITIVE CONTACT - SMS RESPONSIVE,SMS - SENT,5
POSITIVE CONTACT - UNDERNEGO,RIGHT PARTY - NO PROMISE TO PAY,12
POSITIVE CONTACT - VIBER RESPONSIVE,VIBER - SENT,5
PTP,RIGHT PARTY - PROMISE TO PAY,14
PTP - FULL PAYMENT,RIGHT PARTY - PROMISE TO PAY,14
PTP - FULL PAYMENT,RPC - PROMISED TO PAY,14
PTP - RPC PTP DISCOUNTED OTP,RIGHT PARTY - PROMISE TO PAY,14
PTP - RPC PTP FFUP,RIGHT PARTY - PROMISE TO PAY,14
PTP - RPC PTP FULL PAYMENT,RIGHT PARTY - PROMISE TO PAY,14
PTP - RPC PTP PARTIAL,RIGHT PARTY - PROMISE TO PAY,14
PTP - SPLIT PAYMENT,RIGHT PARTY - PROMISE TO PAY,14
PU,OTHER NON-VOICE - SENT,4
RNA,NO ANSWER FROM THE USER,1
RTP,OTHER NON-VOICE - SENT,4
SMS SENT,SMS - SENT,5
UNTC,NOT IN SERVICE,1
VM,NO ANSWER FROM THE USER,1
SMS FAILED,SMS - FAILED,5
